Temperature (K)	Field (Oe)	Capacitance (F)	Resistance (Ohm)
200.1180877685547	-2400	4.86069e-08	3561960.0
200.1180877685547	-2500	5.24399e-08	4158720.0
200.1180877685547	-2600	1.61423e-07	4444220.0
200.1180877685547	-2700	1.98982e-08	4012180.0
200.1180877685547	-2800	3.36354e-08	3820260.0
200.1180877685547	-2900	1.13044e-08	3745580.0
200.1180877685547	-3000	-1.94485e-08	4004380.0
200.1180877685547	-3100	-7.09265e-08	3911150.0
200.1180877685547	-3200	5.21118e-08	4321480.0
200.1180877685547	-3300	-9.55266e-09	5202380.0
200.1180877685547	-3400	2.42031e-08	3951980.0
200.1180877685547	-3500	8.45974e-09	4083980.0
200.1180877685547	-3600	2.05942e-08	3913970.0
200.1180877685547	-3700	2.45399e-08	3624260.0
200.1180877685547	-3800	2.08491e-08	4344790.0
200.1180877685547	-3900	-1.98683e-07	3738330.0
200.1180877685547	-4000	-1.95362e-07	4443780.0
200.1180877685547	-4100	2.83526e-08	4362390.0
200.1180877685547	-4200	6.68569e-08	3909160.0
200.1180877685547	-4300	2.06575e-08	3602980.0
200.1180877685547	-4400	-7.72269e-08	4429610.0
200.1180877685547	-4500	3.16791e-08	4366290.0
200.1180877685547	-4600	-1.92542e-07	4245880.0
200.1180877685547	-4700	1.66194e-08	4107070.0
200.1180877685547	-4800	-5.25153e-08	4285180.0
200.1180877685547	-4900	3.75709e-08	4441600.0
200.1180877685547	-5000	1.72201e-08	4277020.0
